RL2022-2023,Jugador2022-2023,País2022-2023,Posc2022-2023,Equipo2022-2023,Comp2022-2023,Edad2022-2023,Nacimiento2022-2023,PJ2022-2023,Mín2022-2023,Mn/PJ2022-2023,% min2022-2023,90 s2022-2023,Titular2022-2023,Mn/arranque2022-2023,Compl2022-2023,Sup2022-2023,Mn/Sust2022-2023,Partidos como sustituto2022-2023,PPP2022-2023,onG2022-2023,onGA2022-2023,+/-2022-2023,+/-902022-2023,Dentro-Fuera2022-2023,onxG2022-2023,onxGA2022-2023,xG+/-2022-2023,xG+/-902022-2023,Dentro-Fuera.12022-2023
129,Joseph Anang,eng ENG,PO,West Ham,eng Premier League,22,2000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26,1996,32,2782.0,87.0,81.3,30.9,32,87.0,30,0,0.0,0,1.31,35.0,37.0,-2.0,-0.06,0.92,34.0,35.4,-1.3,-0.04,1.01
131,Djavan Anderson,nl NED,"DF,CC",Lazio,it Serie A,27,1995,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Elliot Anderson,sct SCO,"CC,DL",Newcastle Utd,eng Premier League,19,2002,22,410.0,19.0,12.0,4.6,3,58.0,0,19,12.0,12,1.82,8.0,7.0,1.0,0.22,-0.8,11.7,5.5,6.2,1.37,0.59
133,Felipe Anderson,br BRA,DL,Lazio,it Serie A,29,1993,38,2958.0,78.0,86.5,32.9,35,82.0,23,3,28.0,0,1.95,48.0,24.0,24.0,0.73,-0.44,44.1,35.7,8.3,0.25,-0.03
134,Benjamin André,fr FRA,CC,Lille,fr Ligue 1,31,1990,34,2916.0,86.0,85.3,32.4,33,88.0,28,1,23.0,0,1.76,55.0,35.0,20.0,0.62,0.44,58.6,32.6,26.0,0.8,0.41
135,Marcos André,br BRA,"DL,CC",Valencia,es La Liga,25,1996,17,447.0,26.0,13.1,5.0,3,52.0,0,14,21.0,5,0.76,9.0,7.0,2.0,0.4,0.55,7.3,7.6,-0.3,-0.06,-0.24
136,Komnen Andrić,rs SRB,DL,Clermont Foot,fr Ligue 1,27,1995,34,1446.0,43.0,42.3,16.1,16,74.0,2,18,15.0,0,1.38,14.0,26.0,-12.0,-0.75,-1.11,16.7,30.4,-13.7,-0.85,-0.99
137,Robert Andrich,de GER,CC,Leverkusen,de Bundesliga,27,1994,29,2406.0,83.0,78.6,26.7,28,85.0,24,1,15.0,0,1.55,50.0,38.0,12.0,0.45,1.0,40.9,34.9,6.0,0.23,-0.13
138,Matteo Angeli,it ITA,DF,Bologna,it Serie A,19,2002,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
