RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
841,Romain Faivre,fr FRA,CC,Brest,fr Ligue 1,23,1998,19.9,1131.0,19.0,149.0,474.0,531.0,61.0,1126.0,89.0,43.0,48.3,46.0,51.7,689.0,5443.0,2850.0,100.0,65.0,18.0,59.0,31.0,767.0,98.0
842,Radamel Falcao,co COL,DL,Rayo Vallecano,es La Liga,35,1986,9.3,282.0,12.0,19.0,138.0,126.0,41.0,282.0,10.0,3.0,30.0,7.0,70.0,153.0,598.0,219.0,8.0,6.0,5.0,31.0,11.0,229.0,38.0
843,Diego Falcinelli,it ITA,DL,Bologna,it Serie A,30,1991,0.7,45.0,1.0,5.0,17.0,24.0,9.0,45.0,4.0,2.0,50.0,2.0,50.0,26.0,125.0,62.0,1.0,1.0,0.0,6.0,3.0,33.0,9.0
844,Wladimiro Falcone,it ITA,PO,Sampdoria,it Serie A,26,1995,9.5,389.0,355.0,387.0,1.0,1.0,0.0,389.0,0.0,0.0,,0.0,,226.0,1192.0,754.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0
845,Fali,es ESP,"DF,CC",Cádiz,es La Liga,27,1993,20.0,898.0,122.0,460.0,384.0,56.0,13.0,898.0,1.0,1.0,100.0,0.0,0.0,404.0,1971.0,1177.0,9.0,4.0,1.0,10.0,3.0,454.0,6.0
846,Paolo Faragò,it ITA,CC,Cagliari,it Serie A,28,1993,0.2,15.0,0.0,5.0,5.0,7.0,3.0,15.0,1.0,1.0,100.0,0.0,0.0,7.0,54.0,38.0,1.0,1.0,0.0,1.0,0.0,7.0,2.0
847,Omar Faraj,se SWE,DL,Levante,es La Liga,19,2002,0.0,6.0,0.0,5.0,1.0,1.0,0.0,6.0,0.0,0.0,,0.0,,5.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
848,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,29,1991,28.6,1715.0,94.0,440.0,784.0,503.0,55.0,1715.0,40.0,12.0,30.0,28.0,70.0,714.0,2589.0,1186.0,31.0,19.0,6.0,50.0,14.0,891.0,125.0
849,Mohamed Fares,dz ALG,"DF,DL",Genoa,it Serie A,25,1996,6.5,331.0,9.0,82.0,141.0,114.0,16.0,331.0,16.0,9.0,56.3,7.0,43.8,173.0,915.0,452.0,16.0,12.0,1.0,10.0,10.0,187.0,22.0
850,Diego Farias,br BRA,"CC,DL",Cagliari,it Serie A,31,1990,0.7,38.0,0.0,2.0,15.0,21.0,1.0,38.0,1.0,1.0,100.0,0.0,0.0,25.0,120.0,56.0,2.0,0.0,1.0,1.0,0.0,28.0,7.0
851,Wuilker Faríñez,ve VEN,PO,Lens,fr Ligue 1,23,1998,12.3,325.0,283.0,322.0,3.0,0.0,0.0,325.0,0.0,0.0,,0.0,,197.0,1047.0,584.0,0.0,0.0,0.0,1.0,0.0,115.0,0.0
