Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Titular,Titular,Titular,Sup.,Sup.,Sup.,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo,Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Logros del equipo (xG),Unnamed: 30_level_0
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
73,Dele Alli,eng ENG,CC,Tottenham,eng Premier League,22,1996,25,1825,73,53.4,20.3,22,81,10,3,13,0,1.72,32,21,+11,+0.54,-0.42,28.7,22.1,+6.5,+0.32,+0.25,Partidos
74,Miguel Almirón,py PAR,CC,Newcastle Utd,eng Premier League,24,1994,10,759,76,22.2,8.4,9,82,4,1,18,0,1.70,11,11,0,0.00,+0.20,11.3,9.2,+2.0,+0.24,+0.80,Partidos
75,Julio Alonso,es ESP,DF,Betis,es La Liga,19,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera,Partidos
76,Júnior Alonso,py PAR,"DF,CC",Celta Vigo,es La Liga,25,1993,9,536,60,15.7,6.0,6,82,4,3,14,5,1.11,8,8,0,0.00,+0.28,6.2,7.3,-1.1,-0.18,+0.24,Partidos
77,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,31,2759,89,80.7,30.7,31,89,29,0,,1,1.97,52,28,+24,+0.78,+0.78,48.4,29.3,+19.2,+0.63,+0.21,Partidos
78,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,29,1989,11,571,52,16.7,6.3,6,90,6,5,6,11,1.00,7,16,-9,-1.42,-0.79,6.6,10.2,-3.5,-0.55,-0.08,Partidos
79,Diego Altamirano,es ESP,DL,Betis,es La Liga,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Partidos
80,Sergio Álvarez,es ESP,"DF,CC",Eibar,es La Liga,26,1992,19,1069,56,31.3,11.9,12,84,9,7,9,17,1.37,7,14,-7,-0.59,-0.70,11.0,16.2,-5.2,-0.44,-0.98,Partidos
81,Sergio Álvarez,es ESP,PO,Celta Vigo,es La Liga,31,1986,13,1170,90,34.2,13.0,13,90,13,0,,25,1.08,23,22,+1,+0.08,+0.48,13.3,19.5,-6.2,-0.48,-0.15,Partidos
82,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,30,2613,87,76.4,29.0,30,87,28,0,,3,1.47,32,30,+2,+0.07,+0.74,32.6,31.9,+0.6,+0.02,+0.35,Partidos
83,Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,33,2922,89,85.4,32.5,33,89,31,0,,0,1.00,36,56,-20,-0.62,-0.62,34.5,57.7,-23.2,-0.71,-0.37,Partidos
84,Dani Alves,br BRA,"CC,DF",Paris S-G,fr Ligue 1,35,1983,23,1622,71,47.4,18.0,19,82,12,4,18,0,2.00,45,22,+23,+1.28,-1.08,42.4,19.9,+22.5,+1.25,-0.19,Partidos
85,Alfons Amade,de GER,CC,Hoffenheim,de Bundesliga,18,1999,1,9,9,0.3,0.1,0,,0,1,8,1,0.00,0,2,-2,-20.00,-20.59,0.1,1.2,-1.1,-11.20,-11.92,Partidos
86,Ibrahim Amadou,fr FRA,"CC,DF",Sevilla,es La Liga,25,1993,17,762,45,22.3,8.5,7,79,4,10,21,10,1.41,9,14,-5,-0.59,-1.27,13.7,13.0,+0.7,+0.09,-0.61,Partidos
87,Romain Amalfitano,fr FRA,"CC,DL",Dijon,fr Ligue 1,28,1989,32,2522,79,73.7,28.0,30,82,21,2,25,2,0.88,20,46,-26,-0.93,-0.63,25.9,43.2,-17.3,-0.62,-0.51,Partidos
88,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,641,71,18.7,7.1,7,86,6,2,19,1,1.44,10,9,+1,+0.14,+0.08,7.0,8.2,-1.2,-0.17,-0.50,Partidos
89,Jordi Amat,id IDN,DF,Rayo Vallecano,es La Liga,26,1992,31,2763,89,80.8,30.7,31,89,30,0,,3,0.77,34,60,-26,-0.85,-0.44,38.2,48.0,-9.8,-0.32,-0.11,Partidos
90,Amath,sn SEN,CC,Getafe,es La Liga,22,1996,15,1002,67,29.3,11.1,13,72,2,2,32,0,1.40,13,10,+3,+0.27,-0.10,15.1,10.7,+4.4,+0.40,+0.46,Partidos
91,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,2177,78,63.7,24.2,24,87,20,4,20,4,1.39,40,34,+6,+0.25,+0.10,33.1,31.0,+2.1,+0.09,-0.28,Partidos
92,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,2880,90,84.2,32.0,32,90,32,0,,1,1.09,31,47,-16,-0.50,+0.50,40.8,47.8,-7.1,-0.22,+0.38,Partidos
93,Nadiem Amiri,de GER,CC,Hoffenheim,de Bundesliga,21,1996,13,754,58,24.6,8.4,10,69,2,3,22,4,1.85,22,8,+14,+1.67,+1.51,22.2,9.3,+12.9,+1.54,+1.13,Partidos
94,Yanis Ammour,fr FRA,CC,Montpellier,fr Ligue 1,19,1999,1,2,2,0.1,0.0,0,,0,1,2,2,3.00,0,0,0,0.00,-0.29,0.0,0.1,-0.1,-4.90,-5.12,Partidos
95,Luke Amos,eng ENG,CC,Tottenham,eng Premier League,21,1997,1,3,3,0.1,0.0,0,,0,1,2,1,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,0.00,-0.20,Partidos
96,Ethan Ampadu,wls WAL,"DF,CC",Chelsea,eng Premier League,17,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Partidos
97,Jon Ander Serantes,es ESP,PO,Leganés,es La Liga,28,1989,0,,,,,0,,0,0,,8,,,,,,,,,,,,Partidos
98,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,2880,90,84.2,32.0,32,90,32,0,,1,1.50,52,42,+10,+0.31,+0.48,41.3,46.2,-5.0,-0.16,-0.24,Partidos
