RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR
136,Christian Atsu,gh GHA,"CC,DL",Newcastle Utd,eng Premier League,27,1992,8.3,333.0,11.0,75.0,124.0,144.0,12.0,333.0,36.0,16.0,44.4,20.0,55.6,217.0,1717.0,957.0,29.0,23.0,6.0,20.0,17.0,209.0,22.0
137,Pierre-Emerick Aubameyang,ga GAB,DL,Arsenal,eng Premier League,30,1989,34.8,1233.0,26.0,143.0,436.0,667.0,150.0,1231.0,38.0,17.0,44.7,21.0,55.3,727.0,4964.0,2702.0,98.0,47.0,38.0,58.0,31.0,928.0,288.0
138,Emil Audero,it ITA,PO,Sampdoria,it Serie A,22,1997,36.0,1128.0,986.0,1126.0,2.0,0.0,0.0,1128.0,0.0,0.0,,0.0,,495.0,3120.0,2101.0,0.0,0.0,0.0,1.0,0.0,378.0,0.0
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,903.0,29.0,249.0,428.0,245.0,4.0,903.0,26.0,19.0,73.1,7.0,26.9,491.0,3138.0,1833.0,43.0,35.0,2.0,12.0,12.0,579.0,87.0
140,Jean-Kévin Augustin,fr FRA,DL,Monaco,fr Ligue 1,22,1997,3.0,74.0,0.0,2.0,34.0,39.0,15.0,74.0,9.0,4.0,44.4,5.0,55.6,46.0,250.0,104.0,6.0,1.0,4.0,9.0,6.0,51.0,17.0
141,Ludwig Augustinsson,se SWE,"DF,CC",Werder Bremen,de Bundesliga,25,1994,10.3,656.0,29.0,180.0,273.0,213.0,16.0,656.0,11.0,8.0,72.7,3.0,27.3,339.0,1406.0,738.0,24.0,13.0,3.0,18.0,8.0,351.0,62.0
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,1992,30.0,2078.0,124.0,573.0,909.0,619.0,52.0,2078.0,64.0,39.0,60.9,25.0,39.1,1148.0,4661.0,2407.0,66.0,54.0,6.0,54.0,28.0,1144.0,205.0
143,Mathias Autret,fr FRA,"CC,DL",Brest,fr Ligue 1,28,1991,13.6,715.0,6.0,73.0,354.0,299.0,37.0,715.0,20.0,4.0,20.0,16.0,80.0,371.0,1823.0,1020.0,32.0,27.0,3.0,37.0,14.0,474.0,83.0
144,Ezequiel Ávila,ar ARG,DL,Osasuna,es La Liga,25,1994,17.7,540.0,2.0,25.0,206.0,321.0,80.0,540.0,26.0,16.0,61.5,10.0,38.5,308.0,1671.0,765.0,33.0,22.0,11.0,49.0,29.0,383.0,113.0
145,Javier Avilés,es ESP,"CC,DL",Leganés,es La Liga,21,1997,2.0,108.0,1.0,13.0,33.0,63.0,9.0,108.0,8.0,4.0,50.0,4.0,50.0,73.0,586.0,305.0,10.0,6.0,1.0,4.0,5.0,69.0,26.0
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,1024.0,102.0,445.0,522.0,65.0,18.0,1024.0,8.0,6.0,75.0,2.0,25.0,458.0,2351.0,1270.0,12.0,8.0,0.0,8.0,4.0,487.0,8.0
147,Taiwo Awoniyi,ng NGA,"DL,CC",Mainz 05,de Bundesliga,21,1997,5.4,179.0,3.0,20.0,81.0,83.0,31.0,179.0,15.0,8.0,53.3,7.0,46.7,117.0,827.0,386.0,12.0,8.0,6.0,21.0,4.0,128.0,43.0
148,Florian Ayé,fr FRA,"DL,CC",Brescia,it Serie A,22,1997,15.3,487.0,25.0,75.0,196.0,221.0,52.0,487.0,21.0,14.0,66.7,7.0,33.3,254.0,1329.0,489.0,18.0,15.0,7.0,39.0,27.0,323.0,88.0
149,Jordan Ayew,gh GHA,DL,Crystal Palace,eng Premier League,27,1991,35.0,1300.0,30.0,154.0,596.0,584.0,123.0,1300.0,117.0,73.0,62.4,44.0,37.6,801.0,5611.0,2289.0,77.0,54.0,25.0,113.0,95.0,950.0,184.0
