RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,90 s,Tkl,TklG,3.º def.,3.º cent.,3.º ataq.,Tkl.1,Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err
1422,Mateo Kovačić,hr CRO,CC,Chelsea,eng Premier League,27,1994,17.3,51.0,31,14.0,26.0,11.0,17.0,35.0,48.6,18.0,19.0,4.0,15.0,7,58.0,9.0,1.0
1423,Viktor Kovalenko,ua UKR,CC,Spezia,it Serie A,25,1996,14.7,16.0,10,7.0,8.0,1.0,9.0,21.0,42.9,12.0,16.0,3.0,13.0,13,29.0,8.0,0.0
1424,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,26,1994,18.2,37.0,16,25.0,11.0,1.0,27.0,36.0,75.0,9.0,16.0,10.0,6.0,25,62.0,56.0,0.0
1425,Alex Král,cz CZE,CC,West Ham,eng Premier League,23,1998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1426,Andrej Kramarić,hr CRO,"DL,CC",Hoffenheim,de Bundesliga,30,1991,30.1,8.0,4,1.0,5.0,2.0,7.0,17.0,41.2,10.0,10.0,0.0,10.0,9,17.0,7.0,1.0
1427,Christoph Kramer,de GER,CC,M'Gladbach,de Bundesliga,30,1991,8.3,28.0,11,15.0,10.0,3.0,12.0,28.0,42.9,16.0,18.0,5.0,13.0,12,40.0,9.0,0.0
1428,Jean-Philippe Krasso,ci CIV,DL,Saint-Étienne,fr Ligue 1,24,1997,5.0,7.0,5,0.0,5.0,2.0,2.0,10.0,20.0,8.0,7.0,1.0,6.0,0,7.0,1.0,0.0
1429,Julian Kristoffersen,no NOR,DL,Salernitana,it Serie A,24,1997,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1430,Toni Kroos,de GER,CC,Real Madrid,es La Liga,31,1990,23.4,34.0,26,13.0,17.0,4.0,14.0,36.0,38.9,22.0,16.0,3.0,13.0,12,46.0,13.0,1.0
1431,Florian Krüger,de GER,"DL,CC",Arminia,de Bundesliga,22,1999,12.5,3.0,1,0.0,3.0,0.0,2.0,10.0,20.0,8.0,12.0,1.0,11.0,2,5.0,13.0,0.0
